12-27,28-28
42-90,59-90
30-96,31-98
47-68,63-64
1-97,2-97
28-81,22-81
10-88,1-88
15-84,15-81
67-72,68-68
1-72,1-72
90-91,86-90
89-94,79-93
92-98,15-92
2-99,1-99
1-99,99-99
16-99,17-99
11-17,17-95
38-87,39-87
24-47,28-46
38-94,38-99
58-85,59-67
20-22,21-21
82-88,59-87
90-99,89-98
12-21,20-91
64-99,61-64
6-43,5-44
23-23,24-76
4-95,3-3
23-71,24-71
39-47,38-38
73-91,92-92
23-93,87-96
46-76,27-77
78-79,65-78
27-46,26-46
77-82,83-85
2-54,54-55
1-3,6-99
42-42,22-43
7-96,8-96
28-33,28-87
1-31,1-85
2-93,3-94
4-96,2-96
30-30,29-99
30-39,30-30
4-18,34-88
68-69,68-87
30-95,30-76
10-63,10-99
2-98,98-98
12-37,11-11
9-80,9-81
37-37,38-83
95-99,7-95
3-26,60-98
3-99,4-28
5-95,6-95
41-86,42-85
72-95,39-94
1-51,1-62
3-95,95-96
73-83,74-79
93-97,93-96
33-93,32-93
22-40,21-39
11-14,18-79
96-97,58-95
16-40,40-89
1-88,2-88
5-51,5-29
20-48,31-49
3-95,95-96
23-89,23-90
55-80,56-79
43-43,42-59
55-84,54-83
13-76,76-77
22-94,9-35
23-96,68-91
1-85,60-84
27-27,11-27
33-35,33-64
9-77,10-10
69-81,90-91
16-95,16-96
21-94,21-22
7-95,3-94
47-79,1-57
5-39,5-39
12-82,13-82
70-70,63-70
64-64,26-63
2-4,4-94
80-80,79-97
38-75,37-38
54-91,92-92
63-83,63-65
8-56,8-55
98-98,27-97
26-91,28-92
24-85,20-72
13-18,30-84
29-67,29-68
87-95,8-87
13-26,11-41
16-99,17-99
16-98,17-98
18-54,18-83
63-80,64-87
63-63,58-63
37-91,37-85
6-12,4-7
6-58,30-59
18-52,53-96
17-61,17-75
49-72,71-97
11-69,11-36
22-84,22-83
1-64,1-65
27-39,38-38
48-49,49-88
1-1,3-74
55-92,55-98
51-51,8-52
2-26,1-26
23-64,64-64
57-82,57-81
91-91,26-91
6-97,41-98
1-94,1-95
56-83,16-99
8-8,10-88
38-43,6-42
22-84,2-89
14-76,72-88
31-93,30-93
72-92,73-92
57-58,21-57
4-94,6-94
11-85,86-86
9-61,8-61
69-91,69-69
27-77,77-78
10-52,10-51
9-9,8-49
66-67,65-78
2-90,2-98
42-42,41-79
3-86,3-42
15-93,25-73
26-94,27-95
16-99,15-99
1-1,3-65
97-98,4-96
25-87,26-97
3-20,20-96
32-81,32-80
22-85,22-95
4-96,97-98
97-99,62-75
87-99,46-87
98-99,44-76
26-93,26-33
56-87,34-63
1-91,95-98
12-97,11-80
19-36,19-91
19-25,25-98
99-99,7-92
37-46,38-43
73-75,73-78
18-97,97-97
4-98,4-94
88-88,25-88
95-95,4-95
3-70,9-71
20-54,19-21
34-40,24-39
3-3,2-95
5-37,4-37
5-81,5-80
2-95,9-95
12-87,13-13
2-3,2-96
19-63,19-94
64-84,35-35
8-96,5-95
37-69,38-52
91-98,12-92
66-87,66-83
36-58,20-57
8-82,82-83
11-71,13-70
40-43,39-43
1-73,1-1
12-91,12-92
73-97,41-57
6-83,7-7
20-36,19-41
15-91,14-90
18-51,13-50
12-97,97-97
1-89,89-89
13-34,12-34
46-52,46-79
34-36,34-35
22-76,76-76
3-93,4-76
34-35,22-34
7-20,20-20
16-47,2-27
59-60,2-59
96-99,37-94
4-92,4-94
12-30,8-29
22-32,22-22
1-99,2-98
61-70,53-70
45-96,46-96
84-99,2-85
1-2,1-99
19-99,20-94
77-86,86-88
25-83,3-82
6-70,5-70
38-85,85-86
55-83,55-84
87-98,86-97
29-31,29-74
5-42,5-41
21-99,21-77
47-71,46-51
33-51,50-50
52-60,5-40
28-94,29-29
6-23,11-14
31-33,32-48
74-75,44-74
84-96,84-96
38-38,37-45
53-90,92-94
12-32,2-8
39-70,38-70
93-96,17-93
43-60,33-37
4-22,3-95
1-89,2-90
27-76,26-77
34-71,57-71
49-62,20-62
48-97,2-95
11-72,2-5
72-72,72-92
22-65,64-78
24-96,24-25
38-93,32-94
70-71,59-70
38-76,38-76
31-50,30-50
22-97,21-69
22-79,24-80
69-88,88-88
47-48,46-87
27-29,28-42
24-24,25-71
11-94,20-95
1-10,29-85
32-52,32-86
15-72,73-93
15-28,15-47
14-64,15-64
88-88,25-89
80-80,15-80
3-58,58-59
19-96,95-99
39-74,40-87
64-71,71-72
49-80,36-80
61-79,49-78
